"","variable","2.5%","25%","median","75%","97.5%"
"1","tillfac_FT",1.56311799334074,2.12839258138749,2.86574619834125,3.54825676364549,3.94447055424563
"2","tillfac_RT",1.02680546619112,1.46057761669019,1.96452641191101,2.46800504639,2.82422931467802
"3","wfac_irri",1,1,1,1,1
"4","k10",16.6844060865115,17.1733501665059,18.4450232712786,19.1923501825278,20.2193460447699
"5","k20",4.43888455183821,4.62390299818661,5.00909537904674,5.19136861051043,5.36386362466359
"6","k30",6.67834228170946,6.99663416680153,7.23582256767759,7.71582438744836,8.05558986243877
"7","k40",0.0678647957329523,0.119321632628474,0.180817187813518,0.231920781268523,0.291606288608689
"8","k50",0.005764797686829,0.00656028272632044,0.00760102779984241,0.00865419110214861,0.00978308211587323
"9","f1",0.018489561815872,0.11240095008312,0.335336342539198,0.491231304135659,0.683526510301916
"10","f2",0.0334441926813675,0.168920440426295,0.240668238966315,0.338900796912424,0.472753596242244
"11","f3",0.145379238938695,0.285257359989919,0.497032771061058,0.66579506176674,0.791768533569204
"12","f5",0.0414537440060188,0.0559435654928526,0.0678142059367243,0.0806661744033414,0.0976004506466629
"13","f6",0.0266805072869898,0.0563621496100689,0.0991121762967506,0.134671986691707,0.185711403747643
"14","f7",0.381208619884828,0.397980534431971,0.422621663473531,0.448829954323438,0.458524405636312
"15","f8",0.41302577572909,0.427758383987172,0.44473878497706,0.473263436560985,0.492243367029113
"16","tmax",40.9763155094059,42.7749853442505,44.7375947310138,46.9255992603513,49.3287263226967
"17","topt",30.8380130282858,31.4528788716988,32.6024598077435,33.835317801554,35.2377645483743
"18","plig",2.10650753845212,2.39542722357321,2.81485705677047,3.32106766461441,3.93404085927447
