"","params","SI","lci","uci","type"
"1","f1",0.0103889568285382,-0.299205224660494,0.622123366914083,"single"
"2","f2",0.0652452382062828,-0.210822780216514,0.667001643685411,"single"
"3","f3",0.0825979159629492,-0.195429235334532,0.677733532977219,"single"
"4","f5",0.0735251916979211,-0.197203828777009,0.66015740871886,"single"
"5","f6",0.0808679753471441,-0.182264563050257,0.669361912931408,"single"
"6","f7",0.0673821227294708,-0.21032965098246,0.668990809181377,"single"
"7","f8",0.0657522343125393,-0.210562329847288,0.668917002835026,"single"
"8","k10",0.0651825542100763,-0.211225986799606,0.668472776689883,"single"
"9","k20",0.0651825542100763,-0.211225986799606,0.668472776689883,"single"
"10","k30",0.0789736829630487,-0.207828806821588,0.698761082681755,"single"
"11","k40",0.407164239319746,0.130949745283784,0.810374339606409,"single"
"12","k50",0.0655581355631203,-0.211168904606768,0.669076701691984,"single"
"13","plig",0.0651825542100763,-0.211225986799606,0.668472776689883,"single"
"14","tillfac_FT",0.15068521334097,-0.227749461324098,0.852975128784789,"single"
"15","tillfac_RT",0.0651825542100763,-0.211225986799606,0.668472776689883,"single"
"16","tmax",0.13625834859362,-0.237672833354032,1.07383799490536,"single"
"17","topt",0.207658821522427,-0.0838466766992692,0.965769483835371,"single"
"18","wfac_irri",0.0651825542100763,-0.211225986799606,0.668472776689883,"single"
"19","f1",0.0425389401412804,0.0243855808679861,0.0666922967297127,"Total"
"20","f2",0.000376095832341571,-6.17489283402339e-05,0.000654285925427037,"Total"
"21","f3",0.0172941905884972,-0.000753343112624691,0.0240207045891325,"Total"
"22","f5",0.00350868629350609,0.000197889499721294,0.00499672473064792,"Total"
"23","f6",0.0346123611804109,0.00239300854105676,0.0476297281389548,"Total"
"24","f7",0.00027722566543215,-4.38471978287525e-05,0.000474200113919104,"Total"
"25","f8",1.22342147408706e-05,7.52894290007419e-07,1.93080029043013e-05,"Total"
"26","k10",0,0,0,"Total"
"27","k20",0,0,0,"Total"
"28","k30",0.00625548928180206,-0.000198357295085371,0.00895468601214521,"Total"
"29","k40",0.553553976601177,0.0153449771991137,0.743404483750357,"Total"
"30","k50",1.57365898577995e-05,3.00694588565342e-07,2.16307124944812e-05,"Total"
"31","plig",0,0,0,"Total"
"32","tillfac_FT",0.0995495075368117,0.0511307266087218,0.13846675738058,"Total"
"33","tillfac_RT",0,0,0,"Total"
"34","tmax",0.594642510698951,-0.0556301795477512,0.962461222038766,"Total"
"35","topt",0.206773671231795,0.120878644001902,0.333753305919664,"Total"
"36","wfac_irri",0,0,0,"Total"
